,text,label,id
0,@varlamov @McFaul На,skip,1327934765807308801
1,велл они  всё равно что мусор так что ничего страшного 🤣,negative,1252943181387350017
2,"""трезвая жизнь какая-то такая стрёмная""
(с) артём azrtusa",negative,1323610669061677056
3,Ой какие неожиданные результаты 🤭 https://t.co/ZwOHPDKUqq,neutral,1336231661160247297
4,"@Shvonder_chief @dimsmirnov175 На заборе тоже написано,а там другое.О сборе денег слышу впервые.",neutral,1292421736454127617
5,@idkwhht мы тоже мебельная компания уджина😳😳😳,neutral,1303753911174606848
6,Счастья здоровья 10 классникам https://t.co/M9VunSiXDI,speech,1339917376427601921
7,@dntbliev НЕ ПАЛИ.,neutral,1267898207176142848
8,@BTS_twt ты такой красивый 😭😭😭🥺💓,positive,1281551551706865665
9,"@Ladyzchensk Цыган , хуле ...",negative,1257761690122358784
10,"@nikogdanahui1 С днём рождения 🥳 
Успехов и побед тебе☀️",speech,1275298456836493312
11,@okdaa @wifeyoonminn @Y_Yoon_ Но ты очень красиво и чувственно пишешь(,positive,1236273859671834624
12,"@Luvyurbodybby ""Я играю в волейбол не ради смысла.""",neutral,1288173309142740999
13,@Susanoo51489064 ВХВХВХ,positive,1289926968608264193
14,"@tutby 📊
-- «День Выборов Президента Беларуси» — начать опрос — https://t.co/eM6JwORI0t",neutral,1299021318587908096
15,@ZippinkC @lenny_lanzz ПЛАЧУ,negative,1290773131725086720
16,@BettyBoo_rus Надо тоже надоедать начать) Спасибо за информацию,neutral,1291902527735242755
17,"@shn_shah Кеча топилмагунча уйқим кемаганди😅

Мушук манимча",skip,1262102463412396043
18,@yoursungshine малышка спи сладко ❤,positive,1338933271082770433
19,"@lIl__muna__ @kpop_asiangirl хех, я просто объяснил матушке, что использую маты для придания большей эмоциональной окраски своей речи.",neutral,1285318355466039301
20,"@bLianaaaa Я також творю хуйню, тому давай творити хуйню разом🤝",negative,1328101925594816514
21,"@gygwas Я уже готова быть выебанной через экран 

А ой",negative,1335537436739465219
22,@viktoshamurrr7 @CMEPTU___HET @derella9 Кладбище домашних животных-3,skip,1281666869917888512
23,как же я люблю титьки  https://t.co/C2M8rMDFyc,positive,1218926151227318272
24,@nimitide_ne Абаммед Мухдул,neutral,1255122998933311489
25,обсуждаем последние новости. https://t.co/BjxlbOwog9,neutral,1303690145191923717
26,@ughdaechwitta все мужики такие,negative,1295880426620432386
27,"Реакция болельщиков «Челси» на трансфер Виктора Мозеса в «Спартак»
https://t.co/3JlfjnCNf3",neutral,1317847686977114114
28,это как то странно чтлио,skip,1276858725308006400
29,ощущаю на себе выражение «влачить своё существование»,negative,1248008993798115328
30,"Вы помните, когда зарегистрировались в Твиттере? Я помню! #МояГодовщинаВТвиттере https://t.co/RXGtF7Xtze",neutral,1278520345000120321
31,стэнить гат7 было моим самым лучшим решением на всю свою жизнь,positive,1341770134717947907
32,@simpforkeijii АХАХА ЛАДНО СПАСИБО,speech,1335244561090797571
33,"@naiveximp Вийди отсюда, розбійник писала моя хорошая подружка, почитай 😏😏😏",neutral,1216737743738494976
34,@xiaogoldjoy @littlebear_j согласна.,neutral,1251479264429555714
35,@Krimoza_k @ATEEZofficial И целых два сразу🤭💖💖💖,positive,1344222699472769024
36,@Pooh72Rus а весь список огласить не судьба?,negative,1239248401365176323
37,@_Ozick Там ролевики какие-то и они с помощью нашего контента отыгрывать. Твои видео там тоже были,neutral,1293279840737656835
38,@miirozzdaniie Ебошь,negative,1240634228750123009
39,когда очень хочется сменить форму и тебе скучно,negative,1229043093489508353
40,"три руки вышли из дохуллион, можно отпраздновать.",negative,1265413409216040965
41,"Ачё куда все пропали.. Я твит два часа назад сделала, а там один лайк😗✌️",neutral,1324750878050553856
42,@avantroux @Plesk7 @mix87074735444 Услышал,skip,1267082855458496512
43,всем привет мем вышел из под контроля это больше не мем https://t.co/AWTDyCbw2s,neutral,1268706948687388672
