text,label,id
Помойму я вкрашилась в Чимина🤧 https://t.co/t2uZTS7NH2,positive,1282311169534038016
@namaskaramsaroo Мотоцикль,neutral,1272864221202530309
Михаил Мишустин: меры по борьбе с коронавирусом в России были своевременные и правильные  https://t.co/bYMCUoZDMk,neutral,1296860899739947008
@bbsbro_ доброй ноченьки 💕,speech,1288168112425246721
ну что пойду чекну фоточки,neutral,1287678712612364288
@buybread_ я не с порядке!!!!,negative,1335130757044563971
@AyupovRustam Вааа 😍😍😍,neutral,1290994553202380800
"@sosib1bu Аааа спасибо 😭❤
Когда-нибудь я это обязательно перерисую на графическом планшете",speech,1299603571877519360
"@well_syxjker77 да, кинь телегу пж",neutral,1320294157399838721
На Украине ветеран дивизии СС #Галичин'а растрогался на награждении и зиганул https://t.co/DsDiKwSxP5,skip,1252154102789873664
"@ange1flyhigh В следующий раз буду до победного ее закрывать
Пожелайте удачи!",positive,1215370396465291267
@ru_rbc доллар по 30 сделать не хотят значит,neutral,1337179917788868613
как*,skip,1330936931190976512
"❤️❤️❤️❤️Люблю тебя ❤️❤️❤️❤️❤️❤️❤️❤️❤️
💜💜💜Хорошо отдохни и возвращайся к нам💜💜💜💜💜💜💜💜
💕💕💕💕💕💕💕
#GetWellSoonYoongi https://t.co/haVdFV7sl1",speech,1324654815872458754
"Вакансия: Работа на дому для мам в декрете, домохозяек. ... https://t.co/yNptk5wjSE",neutral,1251869120829755398
"@LimitaVIP Удивительный гiмн...
Удивительно, что пока ещё не сдохла Украина.",negative,1253799540848762887
"окей но я запрещаю вам забывать о том, что вихоупы однажды целовались",skip,1317084428531847175
я срала на эту биологию,negative,1339418979887173632
"Помимо Алины, у меня ещё радость...

ГЕМОГЛОБИН ПОВЫСИЛСЯ",positive,1332289032160751616
@polinacolombina Спасибо❤🎉,speech,1259243650976034817
"Пиздец чё вообще было, чувствую как будто меня жизнь ТАК помотала, прошлые сутки как в тумане https://t.co/FVbCAbbfZd",negative,1286564487374544897
@bsa_ym7 хогуки вперде !,skip,1283369832814202880
"зачем мне спичка????
чтоб зажечь огонь в твоих глазах )))",positive,1262165906450452481
@volhelmut а если не нравиться?,neutral,1286219224873078785
Адвокат ответил на сообщения об иске на 40 миллионов рублей к Ефремову https://t.co/8CbHMD0TpW,neutral,1282182307919650818
@mycravatundone это на самом деле очень круто,positive,1334947965048414211
@tieleque Мммммм 😋 классного вечерочка,speech,1334850124539977732
"Хочу сказать что-то приятное, но получается ""иди нахуй, еблан противный""",negative,1220748047845601280
"мне 17, у меня.....

так, стоп блять, какой 17, света, окстись, тебе уже полтора месяца как 18",neutral,1266144589653704704
"@comrade_wolgast Ну все сука, ты огребаешь",negative,1276908541064904708
Темное прошлое патриарха Кирилла: как владыка стал миллиардером — Инсайд... https://t.co/aThO0KgaxB через @YouTube,negative,1237037076215971840
@Li22988592 @LGrebneva Ну хоть так ...,skip,1243312551926140934
"Сейчас проиграла на укулеле Кукушку. Если кому то интересно, то в ней очень простые аккорды, да и темп вполне лёгкий. А так, было круто.",positive,1233823891216371713
@nuidisudagovno близнецы))) уизли))) переоценены)))),neutral,1303050325079846912
@glavnoe_ne_gay Ну да получается,neutral,1308516547594530821
@loshok_petushok Лезбиянки под этим твитом: 🤔🤔🤔🤔🤔🤔,negative,1287089391937216512
Класс.......спасибо за доставку  Galaxy Buds BTS в Украину....поиски папика отменятся https://t.co/iKmT7L397x,positive,1272373198198358016
@wsvrl Бля паладины же неубиваемые,negative,1214787472074444801
вы с отцом сделали из меня ментально инвалида.,negative,1303572281046827008
"@Serj2778 @tass_agency Это точно!👍👍👍
https://t.co/mN5r20pMyR",positive,1248171963484459008
@NurraTheEvilCat тоже что ли японский начать учить ☺️ пасиб),speech,1334785611937550336
@spIolst дотерша квопа мейн антимейдж через дезоль,skip,1316445992552628229
@Nozeratti Кебе какой-то,skip,1312707408045670400
"у нее пока нет имени , но я уже люблю ее 

#мойтруддолжныувидеть #ос #OC #sketchbook #sketc #клоун #Clown https://t.co/11PVEHiR9C",positive,1243625476347899907
Муд https://t.co/v4jMOKiMOq,neutral,1344208728246116353
"Учительница спрашивает Вовочку;  - Ты почему позавчера не был в школе?  - Марь Иванна, у меня мама штанишки стирала, а других нет;  - Ну хо",skip,1261659955943391235
"Ой, красивое число https://t.co/PwE5DOxiKh",positive,1245242464430174210
кто мне заплатит за то что я семь минут потратила чтоб узнать что есть три основных типа рифмовки,negative,1248320127273242629
@v_vodki @IamBorodin @Cattiva777 Я даже хз что такое швец,neutral,1307687170094891008
"погодите, при температуре 38 надо скорую вызывать?..",neutral,1307170570249940993
@axstr0 Соболезную https://t.co/pM9npo9dUd,negative,1332609007224299521
"Закроюсь, а потом вскроюсь",negative,1277454991788257280
мне нравится профессия содержанка посоветуйте вуз с соответствующими программами бакалавриата / магистратуры,positive,1248231283521658880
"@Mashapandabear1 *Покраснеть*
Ах ты.
*Лизь кровушку в ответ*",skip,1251436864239738880
@marygeneralova В моём доме только одно животное(спойлер: я) и оно щас сидит печень готовит https://t.co/e0988EdFnB,neutral,1217098147706691585
"пиздец какой-то, я походу осознанный сон словила",negative,1260936744670617602
В большой семье не без крысы https://t.co/03HbXJqpLn,negative,1331671416706633728
@DoubleObscure Оно само,neutral,1326501060438077443
Разыгрывала 🤣🤣🤣 Я написала валентинку преподу по физике и подложила. Лицо у него было неописуемым))),positive,1313892412188655616
"Теле2 списали 500 рублей , но чтоб их вернуть полностью они не могут )) только 400)
Или заявку оставить и ждать 72 часа жесть какая то",negative,1287901182703341568
этот кб блэкпинк&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;все остальные их кб,skip,1311966035470356481
@1aeooon ахаха,positive,1307604324202274817
мне нужен гайд как стать интересной твиттерской,neutral,1339004804950069254
@kurobanow Пацаны в жизни Лиды: *цяжка дыхаюць*,skip,1317216016431284232
@ATEEZofficial ТЫЫЫЫ ДРАГОЦЕННОСТЬ,positive,1318092789515751424
"#horosiren 
близнецы ♊ 23 июня https://t.co/SavhKUyOEp",neutral,1275274754811998208
"@Pedro__Sanchez лучше б со своими выросшими детьми время так стремились проводить. хотя, судя по реплаям не шибко им с вами интересно",negative,1242538207910268930
"@Fopioti Здравствуйте Стас, я не хочу вам пальчики облизывать.",negative,1324931497351131138
@lamaisanala чего я по-твоему добиваюсь?!?,negative,1214650158954295303
@pinkstarlight_ @TeyBatya ханя ты щас гонишь? конечно он в супер м,negative,1252743905810034696
